Region,Compliance Framework,Category,Dashboard Name,Dashboard Purpose,Key Metrics/KPIs,Primary Data Sources,Secondary Data Sources,Refresh Frequency,Compliance Requirement Reference
US,NIST SP 800-53 Rev 5,AppSec,Security Controls Status Dashboard,Track implementation status of all 800-53 security controls,"Control implementation status, Control effectiveness score, Open findings count, Remediation timeline","GRC platform, Security assessment tools, Audit management system","CMDB, Ticketing system (Jira/ServiceNow), Document management system",Weekly,SP 800-53 Rev 5 Control Families
US,NIST SP 800-53 Rev 5,AppSec,Vulnerability Management Dashboard,Monitor application vulnerabilities and remediation progress,"Critical/High/Medium/Low vulnerability counts, Mean Time to Remediate (MTTR), Vulnerability aging, Patch compliance rate","Vulnerability scanners (Qualys, Tenable, Rapid7), Application security testing tools (SAST/DAST)","Asset management system, Change management system, Patch management tools",Daily,RA-5 Vulnerability Monitoring and Scanning
US,NIST SP 800-53 Rev 5,Cloud,Access Control Dashboard,Monitor user access and privileged account management,"Privileged account count, Access review completion rate, Failed login attempts, Inactive account count","Identity and Access Management (IAM) systems, Active Directory, Cloud IAM (AWS IAM, Azure AD, GCP IAM)","SIEM logs, Authentication logs, HR system",Daily,AC Family - Access Control
US,NIST SP 800-53 Rev 5,Incident Response,Incident Response Metrics Dashboard,Track incident detection and response effectiveness,"Mean Time to Detect (MTTD), Mean Time to Respond (MTTR), Incident count by severity, Open incidents","SIEM (Splunk, QRadar, Sentinel), Incident response platform, SOC ticketing system","EDR tools, Network monitoring tools, Threat intelligence feeds",Real-time,IR Family - Incident Response
US,FedRAMP,Cloud,Continuous Monitoring Dashboard,Monitor ongoing security posture and compliance status,"POA&M items open/closed, Scan coverage percentage, Critical findings aging, Monthly deliverable status","Vulnerability scanners, Configuration management tools, FedRAMP automation tools","Asset inventory, Change management system, Evidence collection platform",Monthly,FedRAMP Continuous Monitoring Requirements
US,FedRAMP,Cloud,Authorization Status Dashboard,Track FedRAMP authorization progress and maintenance,"Authorization stage, Days to ATO, Control assessment status, 3PAO findings count","FedRAMP project management tools, Assessment tracking system","Document repository, Communication logs, Stakeholder management system",Weekly,FedRAMP Authorization Process Guide
US,FedRAMP,Cloud,Security Assessment Dashboard,Monitor security control testing and validation,"Controls tested vs. total, Pass/fail rate, Residual risk score, Compensating controls count","3PAO assessment tools, Security testing platforms, Control validation system","Evidence repository, Test result database, Risk register",Per assessment cycle,FedRAMP Security Assessment Framework
US,CISA Incident Reporting,Incident Response,Cyber Incident Tracking Dashboard,Track reportable incidents and notification timelines,"Incidents reported to CISA, Time to report (72hr compliance), Incident severity distribution, Breach notification status","Incident management platform, CISA reporting portal integration","SIEM, Forensics tools, Legal/compliance tracking",Real-time,CISA Incident Reporting Requirements
US,NIST AI RMF,AI Security,AI Risk Management Dashboard,Monitor AI system risks and governance,"AI systems inventory, Risk assessments completed, High-risk AI systems count, Governance review status","AI governance platform, Model registry, Risk assessment tools","Data lineage tools, Model monitoring platforms, Ethics review board records",Monthly,NIST AI RMF Core Functions
US,NIST AI RMF,AI Security,AI Model Performance & Safety Dashboard,Track AI model behavior and safety metrics,"Model accuracy drift, Bias detection alerts, Adversarial attack attempts, Safety incident count","ML monitoring tools (MLflow, Weights & Biases), Model observability platforms","Application logs, User feedback systems, A/B testing platforms",Daily,NIST AI RMF Measure Function
US,NIST Cybersecurity Framework,AppSec,CSF Implementation Dashboard,Track implementation of CSF subcategories across all functions,"Subcategories implemented, Maturity level by function, Gap analysis results, Target vs. current state","GRC platform with CSF mapping, Assessment tools, Control framework database","Risk register, Policy management system, Training records",Quarterly,NIST CSF 2.0 Core Functions
US,NIST Cybersecurity Framework,Cloud,Asset Management Dashboard,Maintain visibility of all organizational assets,"Total asset count, Asset categorization, Unauthorized assets detected, Asset criticality distribution","Asset discovery tools, CMDB, Cloud asset management (AWS Config, Azure Resource Graph)","Network scanners, Endpoint management, Cloud billing data",Daily,CSF ID.AM - Asset Management
US,NIST Cybersecurity Framework,Incident Response,Detection & Response Dashboard,Monitor detection capabilities and response activities,"Alerts generated, True positive rate, Detection coverage, Response SLA compliance","SIEM, IDS/IPS, EDR platforms, SOAR tools","Network traffic analysis, Threat hunting tools, Incident response playbooks",Real-time,CSF DE & RS Functions
US,PCI DSS v4.0,AppSec,Cardholder Data Environment (CDE) Dashboard,Monitor security of systems handling payment card data,"CDE asset inventory, Quarterly scan status, Penetration test findings, Segmentation validation","PCI scanning vendors (ASV), Network segmentation tools, Payment application scanners","Firewall logs, Network diagrams, Data flow mapping tools",Quarterly,PCI DSS Requirements 11.3 & 11.4
US,PCI DSS v4.0,AppSec,Access Control & Authentication Dashboard,Monitor access to cardholder data,"User access reviews completed, Multi-factor authentication coverage, Password policy compliance, Privileged access monitoring","IAM systems, MFA solutions, Privileged access management (PAM)","Authentication logs, HR system, Access request system",Monthly,PCI DSS Requirement 8
US,PCI DSS v4.0,Cloud,Network Security Monitoring Dashboard,Track network security controls and monitoring,"Firewall rule reviews, IDS/IPS alerts, Network segmentation tests, Wireless security scans","Firewall management systems, IDS/IPS, Network monitoring tools","SIEM, Network access control (NAC), Wireless security scanners",Daily,PCI DSS Requirement 1 & 2
US,HIPAA Security Rule,AppSec,PHI Access & Audit Dashboard,Monitor access to Protected Health Information,"PHI access logs reviewed, Unauthorized access attempts, Audit log completeness, User activity anomalies","Healthcare IT systems, EHR audit logs, Database activity monitoring","SIEM, User behavior analytics, Access governance tools",Daily,HIPAA 164.308(a)(1)(ii)(D) - Information System Activity Review
US,HIPAA Security Rule,Cloud,Risk Analysis & Management Dashboard,Track HIPAA risk assessments and mitigation,"Risk assessments completed, High risks identified, Mitigation plan status, Security incidents","Risk management platform, HIPAA compliance software","Vulnerability scanners, Threat assessment tools, Incident tracking",Annually (minimum),HIPAA 164.308(a)(1)(ii)(A) - Risk Analysis
US,HIPAA Security Rule,Incident Response,Breach Notification Dashboard,Monitor potential breaches and notification requirements,"Potential breaches under investigation, Breach notification timeline, Affected individuals count, HHS reporting status","Breach management system, Legal case management","Incident response platform, Forensics tools, Communication tracking",Real-time,HIPAA Breach Notification Rule 45 CFR 164.400-414
US,SOC 2,AppSec,Security Trust Services Dashboard,Monitor security controls across all TSC categories,"Control effectiveness by category, Testing results, Exceptions identified, Remediation status","SOC 2 compliance platform, Control testing tools","Evidence collection system, Policy management, Vendor risk management",Continuous,SOC 2 Trust Services Criteria - Security
US,SOC 2,Cloud,Availability & Processing Integrity Dashboard,Track system availability and data processing accuracy,"System uptime percentage, Incident impact on availability, Processing error rate, Backup success rate","Monitoring tools (Datadog, New Relic), Application performance monitoring, Backup systems","Incident management, Change management, Capacity planning tools",Real-time,SOC 2 TSC - Availability & Processing Integrity
US,SOC 2,AppSec,Confidentiality & Privacy Dashboard,Monitor protection of confidential and private data,"Data classification compliance, Encryption coverage, Privacy policy adherence, Data subject requests","Data loss prevention (DLP), Encryption management, Privacy management platform","Data discovery tools, Access logs, Consent management",Daily,SOC 2 TSC - Confidentiality & Privacy
US,ISO 27001,AppSec,ISMS Performance Dashboard,Monitor Information Security Management System effectiveness,"ISMS objectives achievement, Nonconformities count, Corrective actions status, Management review findings","ISMS software platform, Internal audit tools, Nonconformity tracking","Document management, Training management, Supplier management",Monthly,ISO 27001 Clause 9.1 - Monitoring and Measurement
US,ISO 27001,Cloud,Asset & Configuration Management Dashboard,Track information assets and configuration baselines,"Information asset inventory, Configuration baseline compliance, Unauthorized changes detected, Asset classification","CMDB, Configuration management tools, Asset management system","Change management, Version control, Cloud configuration tools",Weekly,ISO 27001 Annex A.8 - Asset Management
US,ISO 27001,Incident Response,Information Security Incident Dashboard,Monitor and respond to security incidents,"Incidents by category, Time to containment, Lessons learned documented, Recurring incident patterns","Incident management system, SIEM, Ticketing system","Forensics tools, Communication platform, Knowledge base",Real-time,ISO 27001 Annex A.16 - Incident Management
Canada,CCCS Cyber Security Framework,AppSec,Baseline Security Controls Dashboard,Monitor implementation of CCCS baseline controls,"Control implementation percentage, Assessment findings, Remediation progress, Compliance score","Security assessment tools, GRC platform","CMDB, Risk management system, Audit logs",Quarterly,ITSG-33 Security Controls
Canada,PIPEDA,Cloud,Personal Information Protection Dashboard,Monitor compliance with privacy requirements,"Consent management status, Data subject requests processed, Privacy breach incidents, Data retention compliance","Privacy management platform, Consent management system","DLP tools, Data mapping tools, Legal case management",Monthly,PIPEDA Fair Information Principles
Canada,CyberSecure Canada,AppSec,Certification Controls Dashboard,Track CyberSecure Canada certification requirements,"Controls implemented, Security awareness training completion, Incident response plan status, Vulnerability management","Certification tracking platform, Training management system","Vulnerability scanners, Policy management, Backup verification",Quarterly,CyberSecure Canada Control Framework
LatAm,Brazil LGPD,Cloud,Data Protection Compliance Dashboard,Monitor LGPD data protection requirements,"Data processing activities mapped, Consent records, Data subject rights requests, DPO activities","LGPD compliance software, Data mapping tools, Consent management","DLP, Privacy impact assessments, Vendor management",Monthly,LGPD Articles 37-41
LatAm,Brazil LGPD,AppSec,Data Security Measures Dashboard,Track technical and organizational security measures,"Encryption implementation, Access controls, Security incident response, Data minimization compliance","Security controls platform, Encryption management","Access governance, Incident response, Data lifecycle management",Weekly,LGPD Article 46 - Security Measures
LatAm,Mexico LFPDPPP,Cloud,Personal Data Governance Dashboard,Monitor personal data handling compliance,"Privacy notices published, Data transfers documented, Rights requests fulfilled, Security measures implemented","Privacy management platform, Data governance tools","Legal compliance system, Vendor contracts, Audit trails",Monthly,LFPDPPP 2025 Requirements
APAC,Singapore CSA,Cloud,Cybersecurity Act Compliance Dashboard,Monitor compliance with Singapore Cybersecurity Act,"CII designation status, Cybersecurity audits completed, Incident reporting compliance, Risk assessment status","CSA compliance platform, Audit management system","Risk assessment tools, Incident reporting portal, Asset inventory",Annually,Cybersecurity Act Requirements for CII
