Implementation Priority,tool,pillar,type,agent,task,priority,source,url
,ServiceNow GRC,due_diligence,Commercial,grc_manager,control_monitoring_task,High,comprehensive_csv,https://docs.servicenow.com
,MetricStream,due_diligence,Commercial,grc_manager,control_monitoring_task,High,comprehensive_csv,https://docs.metricstream.com
,RSA Archer,due_diligence,Commercial,grc_manager,control_monitoring_task,High,comprehensive_csv,https://docs.rsa.com
,OneTrust,due_diligence,Commercial,grc_manager,control_monitoring_task,High,comprehensive_csv,https://docs.onetrust.com
,SecurityScorecard,due_diligence,Commercial,vendor_risk_officer,vendor_due_diligence_task,High,comprehensive_csv,https://docs.securityscorecard.com
,BitSight,due_diligence,Commercial,vendor_risk_officer,vendor_due_diligence_task,High,comprehensive_csv,https://docs.bitsight.com
,RiskRecon,due_diligence,Commercial,vendor_risk_officer,vendor_due_diligence_task,High,comprehensive_csv,https://docs.riskrecon.com
,OpenFAIR,due_diligence,Open Source,risk_quant_analyst,risk_quantification_task,High,comprehensive_csv,https://github.com/OpenFAIR/OpenFAIR
,FAIR-Calc,due_diligence,Open Source,risk_quant_analyst,risk_quantification_task,High,comprehensive_csv,https://github.com/OpenFAIR/FAIR-Calc
,NIST CSF,due_diligence,Framework,due_diligence_strategist,define_due_diligence_strategy_task,High,comprehensive_csv,https://www.nist.gov/cyberframework
,CIS Controls,due_diligence,Framework,due_diligence_strategist,define_due_diligence_strategy_task,High,comprehensive_csv,https://www.cisecurity.org/controls
,OWASP Top 10,due_diligence,Framework,due_diligence_strategist,define_due_diligence_strategy_task,High,comprehensive_csv,https://owasp.org/www-project-top-ten
,ServiceNow,due_diligence,Commercial,due_diligence_strategist,define_due_diligence_strategy_task,High,comprehensive_csv,https://docs.servicenow.com
,Jira Service Management,due_diligence,Commercial,due_diligence_strategist,define_due_diligence_strategy_task,High,comprehensive_csv,https://docs.atlassian.com
,BMC Remedy,due_diligence,Commercial,due_diligence_strategist,define_due_diligence_strategy_task,Medium,comprehensive_csv,https://docs.bmc.com
,ISO 27001,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://www.iso.org/standard/27001
,PCI DSS,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://www.pcisecuritystandards.org
,GDPR,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://gdpr.eu
,HIPAA,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://www.hhs.gov/hipaa
,NIS2,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://digital-strategy.ec.europa.eu/en/policies/nis2-directive
,DORA,due_diligence,Framework,regulatory_compliance_officer,regulatory_alignment_task,High,comprehensive_csv,https://www.fsb.org/work-of-the-fsb/financial-stability-implementation/operational-resilience
,Control Monitoring Platform,due_diligence,Commercial,ccm_engineer,ccm_automation_task,High,comprehensive_csv,https://docs.controlmonitoring.com
,Evidence Collection Tool,due_diligence,Commercial,ccm_engineer,ccm_automation_task,High,comprehensive_csv,https://docs.evidencecollection.com
,Board Reporting Platform,due_diligence,Commercial,board_reporter,board_reporting_task,High,comprehensive_csv,https://docs.boardreporting.com
,Executive Dashboard,due_diligence,Commercial,board_reporter,board_reporting_task,High,comprehensive_csv,https://docs.executivedashboard.com
,osquery,due_diligence,Open Source,vendor_risk_analyst,endpoint_assessment,Medium,comprehensive_csv,https://github.com/osquery/osquery
