Phase,Step,Checklist Item,Status,Priority,Owner,Notes,OWASP Mapping,Compliance
Planning & Design,Security Intake,Security intake form completed,Not Started,Critical,PAE,Include risk tier data classes owners target dates,All,GDPR HIPAA SOX PCI DSS SOC2
Planning & Design,Security Intake,Data sensitivity classification completed,Not Started,Critical,PAE,Identify PII PHI financial data intellectual property,All,GDPR HIPAA SOX PCI DSS
Planning & Design,Security Intake,Compliance requirements identified,Not Started,High,PAE,GDPR HIPAA SOX PCI DSS SOC 2,All,GDPR HIPAA SOX PCI DSS SOC2
Planning & Design,Security Intake,Stakeholders and owners identified,Not Started,High,PAE,Development team product owner security team,All,All
Planning & Design,Security Requirements,Security user stories created,Not Started,Critical,PAE,Include acceptance criteria and verification hooks,All,All
Planning & Design,Security Requirements,OWASP Top 10 mapping completed,Not Started,Critical,PAE,Map to A01-A10 categories,All,All
Planning & Design,Security Requirements,Secure coding standards defined,Not Started,High,PAE,Language-specific guidelines and best practices,All,All
Planning & Design,Threat Modeling,Threat model created,Not Started,Critical,PAE,STRIDE/PASTA methodology attack trees,All,All
Planning & Design,Threat Modeling,Trust boundaries identified,Not Started,High,PAE,Data flow diagrams system boundaries,All,All
Planning & Design,Threat Modeling,Threat scenarios documented,Not Started,High,PAE,Attack vectors impact assessment,All,All
Planning & Design,Threat Modeling,Mitigation strategies defined,Not Started,Critical,PAE,Controls countermeasures risk reduction,All,All
Planning & Design,Design Review,Authentication mechanisms reviewed,Not Started,Critical,PAE,MFA SSO session management,A07,GDPR HIPAA SOX PCI DSS
Planning & Design,Design Review,Authorization controls reviewed,Not Started,Critical,PAE,RBAC ABAC least privilege,A01,GDPR HIPAA SOX PCI DSS
Planning & Design,Design Review,Cryptographic controls reviewed,Not Started,High,PAE,Encryption at rest/transit key management,A02,GDPR HIPAA SOX PCI DSS
Planning & Design,Design Review,Data protection controls reviewed,Not Started,High,PAE,Data classification retention privacy,A04,GDPR HIPAA SOX PCI DSS
Planning & Design,Component Approval,Third-party components approved,Not Started,High,PAE,OSS licenses CVEs supply chain,All,All
Planning & Design,Component Approval,SBOM requirements defined,Not Started,High,PAE,Software bill of materials provenance,All,All
Code & Pre-Commit,SAST,SAST rules configured,Not Started,Critical,PAE,OWASP rules custom rules false positives,All,All
Code & Pre-Commit,SAST,IDE integration enabled,Not Started,High,PAE,Real-time feedback developer experience,All,All
Code & Pre-Commit,SAST,PR annotations configured,Not Started,High,PAE,Automated security comments,All,All
Code & Pre-Commit,SAST,Quality gates defined,Not Started,Critical,PAE,Pass/fail criteria severity thresholds,All,All
Code & Pre-Commit,SBOM,SBOM generation automated,Not Started,High,PAE,SPDX/CycloneDX format,All,All
Code & Pre-Commit,SBOM,Component inventory maintained,Not Started,High,PAE,Version tracking license compliance,All,All
Code & Pre-Commit,SBOM,Supply chain policies enforced,Not Started,High,PAE,Approved components vulnerability scanning,All,All
Code & Pre-Commit,Secrets,Secrets scanning enabled,Not Started,Critical,PAE,Git hooks pre-commit CI/CD,A02,GDPR HIPAA SOX PCI DSS
Code & Pre-Commit,Secrets,Revocation process defined,Not Started,Critical,PAE,Incident response rotation procedures,A02,GDPR HIPAA SOX PCI DSS
Code & Pre-Commit,Secrets,False positive handling,Not Started,Medium,PAE,Whitelist management pattern updates,A02,All
Code & Pre-Commit,IaC,Terraform scanning enabled,Not Started,High,PAE,Cloud misconfigurations CIS benchmarks,A05,All
Code & Pre-Commit,IaC,Kubernetes scanning enabled,Not Started,High,PAE,Pod security RBAC network policies,A01,All
Code & Pre-Commit,IaC,Policy violations blocked,Not Started,High,PAE,Deployment gates remediation required,All,All
Build & Integrate,SAST,Comprehensive SAST scan configured,Not Started,Critical,PAE,Full codebase analysis,All,All
Build & Integrate,SAST,OWASP Top 10 compliance checked,Not Started,Critical,PAE,Category mapping severity tracking,All,All
Build & Integrate,SAST,False positive rate monitored,Not Started,Medium,PAE,Quality metrics rule tuning,All,All
Build & Integrate,SAST,Security gate status tracked,Not Started,High,PAE,Pass/fail metrics trend analysis,All,All
Build & Integrate,SCA,Container scanning enabled,Not Started,Critical,PAE,Image vulnerabilities base image updates,A06,All
Build & Integrate,SCA,CVE database updated,Not Started,High,PAE,Latest vulnerability feeds,A06,All
Build & Integrate,SCA,Exploitability assessment,Not Started,High,PAE,CVSS scores attack vectors,A06,All
Build & Integrate,SCA,Remediation tracking,Not Started,High,PAE,Fix versions patch status,A06,All
Build & Integrate,Supply Chain,Artifact signing enabled,Not Started,High,PAE,Code signing integrity verification,All,All
Build & Integrate,Supply Chain,Provenance tracking,Not Started,High,PAE,Build attestations tamper detection,All,All
Build & Integrate,Supply Chain,Policy enforcement,Not Started,High,PAE,Approved sources trusted registries,All,All
Test & Verify,DAST,DAST scanning configured,Not Started,Critical,PAE,OWASP ZAP Burp Suite,All,All
Test & Verify,DAST,Authentication testing enabled,Not Started,Critical,PAE,Login flows session management,A07,GDPR HIPAA SOX PCI DSS
Test & Verify,DAST,Authorization testing enabled,Not Started,Critical,PAE,Access control privilege escalation,A01,GDPR HIPAA SOX PCI DSS
